channel_id,year,video_count
UC0_VlKMxJuvQm5lZnG5AT4g,2022,73
UC0_VlKMxJuvQm5lZnG5AT4g,2023,54
UC0_VlKMxJuvQm5lZnG5AT4g,2024,49
UC0_VlKMxJuvQm5lZnG5AT4g,2025,40
UC0_VlKMxJuvQm5lZnG5AT4g,2026,7
UC0bsrd1M3gCF6XqT_pBobjg,2022,35
UC0bsrd1M3gCF6XqT_pBobjg,2023,155
UC0bsrd1M3gCF6XqT_pBobjg,2024,181
UC0bsrd1M3gCF6XqT_pBobjg,2025,155
UC0bsrd1M3gCF6XqT_pBobjg,2026,174
UC0cpWaYfZHppuIXGN6on59Q,2021,9
UC0cpWaYfZHppuIXGN6on59Q,2022,21
UC0cpWaYfZHppuIXGN6on59Q,2023,19
UC0cpWaYfZHppuIXGN6on59Q,2024,54
UC0cpWaYfZHppuIXGN6on59Q,2025,24
UC0cpWaYfZHppuIXGN6on59Q,2026,3
UC0j83REEO0vmUB6UOJpC5EA,2023,11
UC0j83REEO0vmUB6UOJpC5EA,2024,34
UC0j83REEO0vmUB6UOJpC5EA,2025,105
UC0j83REEO0vmUB6UOJpC5EA,2026,47
UC0nW1honcPC62DD5Qkv3NAw,2025,101
UC0nW1honcPC62DD5Qkv3NAw,2026,221
UC0sN779hXum_LluFaWfJjcw,2025,1
UC0sN779hXum_LluFaWfJjcw,2026,151
UC16UwMg_siDFehWYFcjZhDQ,2024,1
UC16UwMg_siDFehWYFcjZhDQ,2025,119
UC16UwMg_siDFehWYFcjZhDQ,2026,93
UC1893R8hjcc2zIu1KPT4MGw,2024,190
UC1893R8hjcc2zIu1KPT4MGw,2025,155
UC1893R8hjcc2zIu1KPT4MGw,2026,62
UC19G1A17yxePMyLJqcNBN7Q,2020,1
UC19G1A17yxePMyLJqcNBN7Q,2021,30
UC19G1A17yxePMyLJqcNBN7Q,2022,10
UC19G1A17yxePMyLJqcNBN7Q,2023,1
UC1FwYKHZnh2Qrj4GVbes9zQ,2024,211
UC1FwYKHZnh2Qrj4GVbes9zQ,2025,267
UC1FwYKHZnh2Qrj4GVbes9zQ,2026,222
UC1Ow3RRt6TlD5__a3t-UYLQ,2022,38
UC1Ow3RRt6TlD5__a3t-UYLQ,2023,9
UC1Ow3RRt6TlD5__a3t-UYLQ,2024,40
UC1Ow3RRt6TlD5__a3t-UYLQ,2025,36
UC1Ow3RRt6TlD5__a3t-UYLQ,2026,20
UC1W2400L97Bwe2leu7eXEzA,2022,230
UC1W2400L97Bwe2leu7eXEzA,2023,155
UC1W2400L97Bwe2leu7eXEzA,2024,136
UC1W2400L97Bwe2leu7eXEzA,2025,86
UC1W2400L97Bwe2leu7eXEzA,2026,93
UC1_PguMZvyU9DhFVuwuUgTw,2023,23
UC1_PguMZvyU9DhFVuwuUgTw,2024,29
UC1_PguMZvyU9DhFVuwuUgTw,2025,35
UC1_PguMZvyU9DhFVuwuUgTw,2026,39
UC1ibZkqGoK8pSctzOwXUcWA,2023,23
UC1ibZkqGoK8pSctzOwXUcWA,2024,238
UC1ibZkqGoK8pSctzOwXUcWA,2025,244
UC1ibZkqGoK8pSctzOwXUcWA,2026,195
UC1jZ0KuzFRgWD_s9E-KLcFQ,2025,27
UC1jZ0KuzFRgWD_s9E-KLcFQ,2026,105
UC1miE8rA7u3-CVPpuZGUT7g,2022,5
UC1miE8rA7u3-CVPpuZGUT7g,2023,23
UC1miE8rA7u3-CVPpuZGUT7g,2024,10
UC1miE8rA7u3-CVPpuZGUT7g,2025,1
UC1o-4IZwxHOxGyUKN6xpNZA,2023,1
UC1o-4IZwxHOxGyUKN6xpNZA,2025,21
UC1o-4IZwxHOxGyUKN6xpNZA,2026,56
UC1pSe5kxpCK1BwA_bZQ97-g,2021,63
UC1pSe5kxpCK1BwA_bZQ97-g,2022,31
UC1pSe5kxpCK1BwA_bZQ97-g,2023,6
UC1pSe5kxpCK1BwA_bZQ97-g,2024,15
UC1pYd8HCTuc8Kdh_8m_znpA,2023,6
UC1pYd8HCTuc8Kdh_8m_znpA,2024,160
UC1pYd8HCTuc8Kdh_8m_znpA,2025,130
UC1pYd8HCTuc8Kdh_8m_znpA,2026,57
UC1s5T_9sfGrRxHJhjEceVSg,2022,9
