sample_id,channel_id,video_id,year,video_published_at,time_bin,sampling_reason,t5_capture_count,t5_output_file
smp_UCGtjAVY_2025_ilJcoWMWUD8,UCGtjAVYcncs1AJ5hQY0gASQ,ilJcoWMWUD8,2025,2025-01-11T05:00:37+00:00,bin_1_jan_feb,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\ilJcoWMWUD8.parquet
smp_UCGtjAVY_2025_lGgTdGA9bMo,UCGtjAVYcncs1AJ5hQY0gASQ,lGgTdGA9bMo,2025,2025-11-28T08:01:06+00:00,bin_6_nov_dec,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\lGgTdGA9bMo.parquet
smp_UCHhIQk2_2025_a-oJFzRcWvQ,UCHhIQk2SuVBxR4H2PH_3j2Q,a-oJFzRcWvQ,2025,2025-06-14T05:00:01+00:00,bin_3_may_jun,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCHhIQk2SuVBxR4H2PH_3j2Q\a-oJFzRcWvQ.parquet
smp_UCIxWJ7k_2025_YL7Odqn1KNI,UCIxWJ7k2MWKT6sIg3mLjkTg,YL7Odqn1KNI,2025,2025-11-07T11:52:10+00:00,bin_6_nov_dec,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCIxWJ7k2MWKT6sIg3mLjkTg\YL7Odqn1KNI.parquet
smp_UCIxWJ7k_2025__nz20E6VUgw,UCIxWJ7k2MWKT6sIg3mLjkTg,_nz20E6VUgw,2025,2025-12-02T21:16:05+00:00,bin_6_nov_dec,baseline_stratified,92,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCIxWJ7k2MWKT6sIg3mLjkTg\_nz20E6VUgw.parquet
smp_UCIxWJ7k_2025_bZ3NikNm_So,UCIxWJ7k2MWKT6sIg3mLjkTg,bZ3NikNm_So,2025,2025-09-25T11:30:46+00:00,bin_5_sep_oct,baseline_stratified,95,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCIxWJ7k2MWKT6sIg3mLjkTg\bZ3NikNm_So.parquet
smp_UCIxWJ7k_2025_cFBE_Dfqagc,UCIxWJ7k2MWKT6sIg3mLjkTg,cFBE_Dfqagc,2025,2025-10-10T09:33:54+00:00,bin_5_sep_oct,baseline_stratified,94,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCIxWJ7k2MWKT6sIg3mLjkTg\cFBE_Dfqagc.parquet
smp_UCIxWJ7k_2025_wGHaYJh16Mk,UCIxWJ7k2MWKT6sIg3mLjkTg,wGHaYJh16Mk,2025,2025-07-20T05:22:48+00:00,bin_4_jul_aug,baseline_stratified,91,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCIxWJ7k2MWKT6sIg3mLjkTg\wGHaYJh16Mk.parquet
smp_UCJdXesa_2025_w1yi0MyPzKg,UCJdXesaZYrQVSjhlYhme8rQ,w1yi0MyPzKg,2025,2025-04-04T17:45:43+00:00,bin_2_mar_apr,baseline_stratified,91,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCJdXesaZYrQVSjhlYhme8rQ\w1yi0MyPzKg.parquet
smp_UCM69uU9_2025_gbvbYPBFm1c,UCM69uU9b_raR3mcACHeivgg,gbvbYPBFm1c,2025,2025-04-01T11:36:42+00:00,bin_2_mar_apr,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCM69uU9b_raR3mcACHeivgg\gbvbYPBFm1c.parquet
