channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UC_LTVw7bj_wFH4n8POeSNbw,Faminé Ch.【ARP】,B,47400,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCdxaZWWFBl3N7Ollc3EwZAw,White Sky Ch.,B,47100,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UC7BTojsUPC4JhxDYRgmuz2Q,Jiru ch. Euphora,B,47000,hiatus,Euphora Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCPHqJsNtOp94Vcol4DPKpSA,SiamNeko Ch.【ARP】,B,47000,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCdoQwqmi-QKjHOJnvg0wm4Q,xLazyYui,B,46000,hiatus,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCsQqb5obLoEfcDoiaZFM7LA,moujob,B,44800,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCrKgRzwdpFIyoYBvyuacmPg,Nogi Sensei,B,44400,hiatus,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCOY60szLyP_E8RuT6jVAVHg,Aruna Shuun Ch. Pixela Destiny,B,43500,hiatus,Pixela Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCGMSJFuXdNmswEPX4X6NnLQ,Mycara Melony Ch. Pixela-Mystic,B,42300,active,Pixela Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCOGGZpm2i6PXFI9yBvEueRA,ดอยล์,B,42300,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCt-_7LOFGUhAQGzePZtbYZg,Renkon Ch.,B,41800,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCfPOynlPffrryH8JAsHOmJA,it’s hi Ch.【ARP】,B,41800,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCxn_EkDl0yi45LN2H00ddiQ,SEO A XAY,B,41600,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UC3JqFoY66A90sdqe46mvbTA,Eli Aharon 「イーライ」,B,40900,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCiYFmDfFBoAP2yk9yuXBTTg,S1R Ch.【ARP】,B,40800,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCdlJxYXr4eh44NeCSjOe_Fg,RainRem Ch. レーンレム,B,40500,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCfI5PfgpNZ3a2p7MS-m5gPA,Ponpun.,B,39600,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCUPi3XlTX0rLUWjFHifNl-Q,Bloodyflora,B,38200,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCZmw6cMeVaCMtL_NhybhWJw,Poppy the Puppy,B,38000,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCMVdzsLwVWc241rrjK78aXA,Pak LIGHT,B,37300,hiatus,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCAnKhwx493i5myddnJFF_gg,Pengu Ch.【Ti19t】,B,37200,active,Ti19t,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCktUGMC7AKl1e8n20Ys8w0Q,Superpretty TAKOPERO Ch. Pixela Legends,B,36600,active,Pixela Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCjw7DQp5uNND5qMyyhtOpdQ,RaFa DXD,B,36400,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCPMOk4hbIh5A-_6uNhzAvDg,Kitsuneko Mewten Ch. Pixela-Isekai,B,36300,active,Pixela Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCGofntRkNUAgXGqimLtLy4g,Reilim Channel,B,36100,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCwtyxO7B0xIv3XdtSvdnYgQ,Aoi Crescent Ch.,B,35600,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCM96L0HabMkeIGyBViLZ4YQ,Cynthia Rowena Ch.,B,35300,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCwKydIfpAlllZap4K7dzJ4g,HyougaAlpha Ch.【ARP】,B,35200,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UC-qBbCCqtD2H4WSs9m978Ow,Cazzie K. Monie,B,35000,unknown,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCjpsxqVVjdZWy5eW5-ZkbcA,Amnuai CH,B,34900,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCnvBsJQ0TztZ4Mq7qDaL_FA,Xaniel Ch. Flora Project,B,34800,unknown,Flora Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCBLV-Zv25LzajWyKEofqvVQ,[ปิดตัว],B,34800,unknown,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
