event_id,creator_channel_id,creator_name,agency,event_type,event_date,event_year,evidence_tier,creator_source_class,verification_status,source_type,source_reference,retrieved_at,notes
evt_first_observed_UCxsvotVZG_20230418,UCxsvotVZGKCimeSlzK9bSzA,deksammy,Independent,FIRST_OBSERVED,2023-04-18,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-04-18 02:26:38+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-04-18 02:26:38+00:00). Not verified debut stream.
evt_first_observed_UCx1g_QQFa_20230530,UCx1g_QQFax29m6z1UXLTI3g,Fiatake,Independent,FIRST_OBSERVED,2023-05-30,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-05-30 10:22:06+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-05-30 10:22:06+00:00). Not verified debut stream.
evt_first_observed_UCGc2qf0Pk_20211229,UCGc2qf0Pkl7RyvqTyyP_o9w,MiYuu43 ch. みゆ,Independent,FIRST_OBSERVED,2021-12-29,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-12-29 19:08:59+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-12-29 19:08:59+00:00). Not verified debut stream.
evt_first_observed_UCTRQ7X-nx_20240609,UCTRQ7X-nxix3gjjXUb6ylvA,Ginnique Ch.【ARP】,Algorhythm Project,FIRST_OBSERVED,2024-06-09,2024,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2024-06-09 11:12:04+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2024-06-09 11:12:04+00:00). Not verified debut stream.
evt_first_observed_UCfiD6DpIw_20210904,UCfiD6DpIwPP4lQ4NPqZNOHg,Solar Ch.【ARP】,Algorhythm Project,FIRST_OBSERVED,2021-09-04,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-09-04 12:37:36+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-09-04 12:37:36+00:00). Not verified debut stream.
evt_first_observed_UCikyhPyuE_20220125,UCikyhPyuEu3rn1izGOGxZcg,Aranis Elvene Ch. Pixela-Isekai,Pixela Project,FIRST_OBSERVED,2022-01-25,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2022-01-25 15:25:32+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2022-01-25 15:25:32+00:00). Not verified debut stream.
evt_first_observed_UCUaWCz3UX_20250111,UCUaWCz3UX9XNdA97qPHuAYg,MamiMumei,Independent,FIRST_OBSERVED,2025-01-11,2025,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2025-01-11 05:00:25+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2025-01-11 05:00:25+00:00). Not verified debut stream.
evt_first_observed_UCx5NsY_dU_20231221,UCx5NsY_dUUU2NHK2P8u10xQ,Ngerntong-เงินทอง,Independent,FIRST_OBSERVED,2023-12-21,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-12-21 02:54:06+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-12-21 02:54:06+00:00). Not verified debut stream.
evt_debut_UCC5q6CpuD_20201002,UCC5q6CpuDflPvO7pNn52RGQ,Lapine Ch.,Independent,DEBUT,2020-10-02,2020,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Lapine,2026-09-09T05:30:40.708062+00:00,Debuted on 2020-10-02 as member of Polygon Project 1st Gen (POLAR1SS).
evt_first_observed_UCNDYUXSVC_20230505,UCNDYUXSVC7ffBAGEktilzUQ,Hanami Lay CH.,Independent,FIRST_OBSERVED,2023-05-05,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-05-05 12:29:53+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-05-05 12:29:53+00:00). Not verified debut stream.
evt_first_observed_UC1W2400L9_20210321,UC1W2400L97Bwe2leu7eXEzA,Khaojao,Independent,FIRST_OBSERVED,2021-03-21,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-03-21 02:12:01+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-03-21 02:12:01+00:00). Not verified debut stream.
evt_first_observed_UCjr1VnM1L_20200816,UCjr1VnM1LBRp9Ez2JGNndaA,Aosora Popo Ch.,Independent,FIRST_OBSERVED,2020-08-16,2020,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2020-08-16 15:00:11+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2020-08-16 15:00:11+00:00). Not verified debut stream.
evt_first_observed_UCxfx5Buds_20190908,UCxfx5BudsoFOV-TLl0RdFNw,ChaoPlaThong,Independent,FIRST_OBSERVED,2019-09-08,2019,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2019-09-08 15:50:43+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2019-09-08 15:50:43+00:00). Not verified debut stream.
evt_first_observed_UCTD-nm97t_20231111,UCTD-nm97tb5Sh7_ou7LFSUQ,Euthalia Zéphyr Ch. Pixela Destiny,Pixela Project,FIRST_OBSERVED,2023-11-11,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-11-11 10:08:09+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-11-11 10:08:09+00:00). Not verified debut stream.
evt_hiatus_observed_proxy_UCTD-nm97t_20250411,UCTD-nm97tb5Sh7_ou7LFSUQ,Euthalia Zéphyr Ch. Pixela Destiny,Pixela Project,HIATUS_OBSERVED_PROXY,2025-04-11,2025,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,REGISTRY_INACTIVITY_PROXY,thai_vtuber_registry.json:last_video_published_at=2025-04-11T11:00:07+00:00,2026-09-09T05:30:40.708062+00:00,Observed hiatus boundary based on last public activity recorded on 2025-04-11 (>180d inactive).
evt_first_observed_UC6kddWCoJ_20190115,UC6kddWCoJL4IneTbHRFnViQ,Shin Inbox,Independent,FIRST_OBSERVED,2019-01-15,2019,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2019-01-15 08:00:09+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2019-01-15 08:00:09+00:00). Not verified debut stream.
evt_hiatus_observed_proxy_UC6kddWCoJ_20251106,UC6kddWCoJL4IneTbHRFnViQ,Shin Inbox,Independent,HIATUS_OBSERVED_PROXY,2025-11-06,2025,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,REGISTRY_INACTIVITY_PROXY,thai_vtuber_registry.json:last_video_published_at=2025-11-06T08:00:50+00:00,2026-09-09T05:30:40.708062+00:00,Observed hiatus boundary based on last public activity recorded on 2025-11-06 (>180d inactive).
evt_debut_UCkEcY4RbL_20220125,UCkEcY4RbLYs2AF45nhkyjtw,Jolly Estaa Ch. Pixela-Isekai,Pixela Project,DEBUT,2022-01-25,2022,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Jolly_Estaa,2026-09-09T05:30:40.708062+00:00,Debuted on 2022-01-25 as member of Pixela Legends.
evt_first_observed_UCGtjAVYcn_20241123,UCGtjAVYcncs1AJ5hQY0gASQ,KAMAI,Independent,FIRST_OBSERVED,2024-11-23,2024,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2024-11-23 05:00:22+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2024-11-23 05:00:22+00:00). Not verified debut stream.
